;_id;estado;direccion;Aeropuerto;Aestrenar;Agua;Alarma;Alcantarillado;Amoblado;Ano Construcción;Area Construcción;Ascensor;Autopista;Avenida;Balcon;Barbecue;Bodega;Cable;CasaColonial;Chimenea;Cocina;Colegio;Comercios;Concreto;Concurrida;Conserje;EdificioN;Estacionamiento;GasCentral;Generador;Gimnasio;Hospital;Iglesia;JInfantiles;Jacuzzi;Jardin;MedidorAgua;Mes Construcción;Moderno;Montania;NoAmbientes;NoBanos;NoDormitorios;NoEstacionamientos;Piscina;Playa;Reconstruido;Renovado;Residencial;Seguridad;Terraza;Terreno;Total M²;TransporteP;Trole;Turismo;Vista Panoramica;Walk;ZonaTranquila;NoAmb;NoBan;NoDorm;NoMetros;estadoTran;lat;lng;precio;price;tipoInv;tipoTran;titulo
0;700a3c679fc98a495a6598aad4fed54bd4370fdb---Usada---Ñusta - Calle Lira Ñan - Causayllacta - Quitumbe, Ecuador;Usada;Ñusta - Calle Lira Ñan - Causayllacta - Quitumbe, Ecuador;0;0;0;0;1;0;2008;93.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;6;2;3;0;0;0;0;0;0;0;1;93;93.0;1;1;0;1;0;0;6;2;3;93;;0.0;0.0;65000.0;65,000;Departamento;De Venta;Ñusta  - Calle Lira Ñan  - Causayllacta  -  Quitumbe, Ecuador
1;fa0ab90a2960f49706bfd7eae09558b399b18ad8---Usada---Condor Ñan - Conjunto Sol del Sur - Ruccullacta - Quitumbe, Ecuador;Usada;Condor Ñan - Conjunto Sol del Sur - Ruccullacta - Quitumbe, Ecuador;0;0;0;0;0;0;2008;;0;0;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;7;1;3;0;0;0;0;0;1;1;0;;88.0;1;1;0;0;0;0;7;1;3;88;;0.0;0.0;60000.0;60,000;Departamento;De Venta;Condor Ñan  - Conjunto Sol del Sur  - Ruccullacta  -  Quitumbe, Ecuador
2;dc32d6017e02ba8c61cdaf3454aa9c21d2489463---Usada---Av Pedro V Maldonado - Conjunto Portal de Chimbacalle - Villaflora - La Magdalena, Ecuador;Usada;Av Pedro V Maldonado - Conjunto Portal de Chimbacalle - Villaflora - La Magdalena, Ecuador;0;0;1;0;1;1;2000;;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;6;1;2;0;0;0;0;1;1;1;1;46;46.0;1;1;0;1;1;0;6;1;2;46;;0.00073;-0.001073;47000.0;47,000;Departamento;De Venta;Av Pedro V Maldonado  - Conjunto Portal de Chimbacalle  - Villaflora  -  La Magdalena, Ecuador
3;f43847d841c74c009079d9759d0f10a648423183---Usada---Cusubamba - Turubamba Bajo - Solanda, Ecuador;Usada;Cusubamba - Turubamba Bajo - Solanda, Ecuador;0;0;0;1;0;1;2012;432.0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;20;3;7;5;0;0;0;0;1;1;0;405;432.0;0;1;0;0;1;0;20;3;7;432;;-0.277858;-78.539948;215000.0;215,000;Casa;De Venta;Cusubamba  - Turubamba Bajo  -  Solanda, Ecuador
4;fe89e3b31b9f32bfd3cf142e4983eca6ecd95adb---Usada---Rocafuerte - Edificio Casa Ponton - Centro Historico, Ecuador;Usada;Rocafuerte - Edificio Casa Ponton - Centro Historico, Ecuador;0;0;0;1;0;0;2010;71.0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;6;1;3;0;0;0;0;0;0;1;1;71;71.0;1;1;1;1;0;0;6;1;3;71;;0.0;0.0;59500.0;59,500;Departamento;De Venta;Rocafuerte  - Edificio Casa Ponton  -  Centro Historico, Ecuador
5;024beca4c87e1b2dd58e966718954d7952cd4ed9------S/N Alangasi Real Audiencia y De los Ciruelos - Real Audiencia y De los Ciruelos - Alangasi - La Merced, Ecuador;;S/N Alangasi Real Audiencia y De los Ciruelos - Real Audiencia y De los Ciruelos - Alangasi - La Merced, Ecuador;1;0;1;1;1;0;1990;563.0;0;1;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;7;0;0;0;0;0;1;1;8,840;8840.0;1;0;0;1;0;1;0;0;0;8,840;;-0.313997;-78.40506;355000.0;355,000;Quinta;De Venta;S/N Alangasi Real Audiencia y  De los Ciruelos  - Real Audiencia y De los Ciruelos - Alangasi  -  La Merced, Ecuador
6;b213c17257cb5c9c4dd48ed25505f040b39126e4------Inés Gangotena - Inchalillo - Sangolqui, Ecuador;;Inés Gangotena - Inchalillo - Sangolqui, Ecuador;0;0;0;0;0;0;2020;4905.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,905;4905.0;0;0;0;0;0;0;0;0;0;4,905;;0.0;0.0;417000.0;417,000;Terreno;De Venta;Inés Gangotena  - Inchalillo  -  Sangolqui, Ecuador
7;c2dd9ef79b6ed63638219db15132bfb73954aa69---Por Estrenar---Oe9F BOSSANO - BOSSANO OeF - Bellavista - Iñaquito, Ecuador;Por Estrenar;Oe9F BOSSANO - BOSSANO OeF - Bellavista - Iñaquito, Ecuador;0;1;0;1;0;0;2016;108.84;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;15;1;2;1;0;0;0;0;0;0;0;108.84;108.84;0;0;0;1;0;0;15;1;2;108.84;;-0.18938;-78.477337;155000.0;155,000;Departamento;De Venta;Oe9F BOSSANO  - BOSSANO OeF  - Bellavista  -  Iñaquito, Ecuador
8;d2855ea0ca178c750d17192afbaf653d949fc82e------Bloque Manuel Cordova Galarza - Conjunto.2 Hemisferios - Pusuqui 1 - Pomasqui, Ecuador;;Bloque Manuel Cordova Galarza - Conjunto.2 Hemisferios - Pusuqui 1 - Pomasqui, Ecuador;0;0;1;1;1;1;2000;72.0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;12;0;1;9;1;3;1;0;0;0;1;1;1;0;;72.0;1;0;0;1;0;1;9;1;3;72;;-0.0702;-78.470099;55000.0;55,000;Departamento;De Venta;Bloque Manuel Cordova Galarza  - Conjunto.2 Hemisferios  - Pusuqui 1  -  Pomasqui, Ecuador
9;1d0e9ad6c6c038f11f81d6876f83104c8aaa405f---Usada---s/N s-19 - Urb.puente de Piedra Conocoto la Salle - La Salle 1 - Conocoto, Ecuador;Usada;s/N s-19 - Urb.puente de Piedra Conocoto la Salle - La Salle 1 - Conocoto, Ecuador;0;0;0;1;0;1;2013;383.64;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;15;2;4;5;0;0;0;0;0;0;0;600;383.64;0;0;0;1;0;0;15;2;4;383.64;;-0.315255;-78.483753;260000.0;260,000;Casa;De Venta;s/N s-19  - Urb.puente de Piedra Conocoto la Salle  - La Salle 1  -  Conocoto, Ecuador
10;587fb9436478e2d4c3d000ef090f95cd4b584a83------OE2-192 JAIME ROLDOS AGUILERA - EDIFICIO BUCAY - Carcelen - Carcelen, Ecuador;;OE2-192 JAIME ROLDOS AGUILERA - EDIFICIO BUCAY - Carcelen - Carcelen, Ecuador;0;1;0;1;0;1;1987;1.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;12;1;0;10;1;2;0;0;0;0;0;0;0;0;;91.0;0;0;0;1;0;0;10;1;2;91;;-0.089515;-78.476387;46500.0;46,500;Departamento;De Venta;OE2-192 JAIME ROLDOS AGUILERA  - EDIFICIO BUCAY  - Carcelen  -  Carcelen, Ecuador
11;97cf9cbbc5b70ec2aee74d33aec6a5dc613693c3---Usada---Oe-142 de los libertadores - Av.de los Libertadores - Josefina Enriquez - La Libertad, Ecuador;Usada;Oe-142 de los libertadores - Av.de los Libertadores - Josefina Enriquez - La Libertad, Ecuador;0;0;0;1;0;1;1995;1995.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;464.68;570.36;0;0;0;1;0;0;0;0;0;570.36;;-0.233298;-78.530606;400000.0;400,000;Casa;De Venta;Oe-142 de los libertadores  - Av.de los Libertadores  - Josefina Enriquez  -  La Libertad, Ecuador
12;258eacde5d02a8730bd092ab62d769e89cea2e43---Por Estrenar---s/n n1c-sn - PSJ.ALMEIDA Y ABD,CALDERON - Conocoto, Ecuador;Por Estrenar;s/n n1c-sn - PSJ.ALMEIDA Y ABD,CALDERON - Conocoto, Ecuador;0;1;0;0;0;0;1960;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4,220;4021.0;0;0;0;1;0;0;0;0;0;4,021;;-0.303616;-78.485856;400000.0;400,000;Terreno;De Venta;s/n n1c-sn  - PSJ.ALMEIDA Y ABD,CALDERON  -  Conocoto, Ecuador
13;8930a227c1336f23e9db3e23e030ce57fce5cf0e------n31-49 inglaterra - Inglaterra y Mariana de Jesús - La Republica - Iñaquito, Ecuador;;n31-49 inglaterra - Inglaterra y Mariana de Jesús - La Republica - Iñaquito, Ecuador;0;0;0;1;0;1;1989;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;12;1;0;10;3;4;1;0;0;0;0;0;0;0;762;157.0;0;0;0;1;0;0;10;3;4;157;;-0.190732;-78.491971;140000.0;140,000;Departamento;De Venta;n31-49 inglaterra  - Inglaterra y Mariana de Jesús  - La Republica  -  Iñaquito, Ecuador
14;fdaf9243bcd063c6eb51cb96e53a0767a1c03f27------N37-181 6 de diciembre - Edficio.Mena Salazar - El Batan - Iñaquito, Ecuador;;N37-181 6 de diciembre - Edficio.Mena Salazar - El Batan - Iñaquito, Ecuador;0;0;1;1;1;1;1990;196.0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;1;6;0;1;10;2;3;2;0;0;0;1;1;1;0;;196.0;1;1;0;1;0;1;10;2;3;196;;-0.175519;-78.477642;115000.0;115,000;Departamento;De Venta;N37-181 6 de diciembre  - Edficio.Mena Salazar  - El Batan  -  Iñaquito, Ecuador
15;079676df37847426edddc7f3ccb759213c2baec3------Lola Quintana - Lola Quintana tras el colegio San Vicente de Paúl - Conocoto - Quito, Ecuador;;Lola Quintana - Lola Quintana tras el colegio San Vicente de Paúl - Conocoto - Quito, Ecuador;0;0;0;0;0;0;2021;;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;;1532.74;1;0;1;1;0;1;0;0;0;1,532.74;;-0.292858;-78.477689;215000.0;215,000;Terreno;De Venta;Lola Quintana  - Lola Quintana tras el colegio San Vicente de Paúl  - Conocoto  -  Quito, Ecuador
16;69f9fc656a445d217c379aab788bf59c7291f61b---Usada---Av. Simón Bolívar km 4 1/2 - Turubamba - Quito, Ecuador;Usada;Av. Simón Bolívar km 4 1/2 - Turubamba - Quito, Ecuador;0;0;0;1;1;0;2017;;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;1;8;1;3;0;0;0;0;0;1;1;0;;53.91;1;0;0;1;0;0;8;1;3;53.91;;-0.072593;-78.452082;41900.0;41,900;Departamento;De Venta;Av. Simón Bolívar km 4 1/2  - Turubamba  -  Quito, Ecuador
17;3e0c24480c06fa7875514bc4b14ea444b07355c9------MANTA - Sur de Manta - Manta, Ecuador;;MANTA - Sur de Manta - Manta, Ecuador;0;0;1;0;1;0;2014;144.0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;307;307.0;1;0;0;1;1;1;0;0;0;307;;-0.953679;-80.764459;140000.0;140,000;Departamento;De Venta;MANTA  - Sur de Manta  -  Manta, Ecuador
18;8fb1a69c67a995103dad3de7eebc05cd2ff5da29---Usada---MANTA - Centro de Manta - Manta, Ecuador;Usada;MANTA - Centro de Manta - Manta, Ecuador;0;0;1;1;1;1;2015;222.0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;2;1;1;0;1;0;0;1;222;222.0;1;0;1;1;1;0;0;0;0;222;;-0.985044;-80.69404;600000.0;600,000;Departamento;De Venta;MANTA  - Centro de Manta  -  Manta, Ecuador
19;219fbfcefb2750434e8df2a43794b16bf2c6984d------Cancha de la Pradera - El valle - Cuenca, Ecuador;;Cancha de la Pradera - El valle - Cuenca, Ecuador;0;0;1;0;1;0;1999;;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4,468;4468.0;1;0;0;1;0;1;0;0;0;4,468;;-2.934476;-78.967077;250000.0;250,000;Terreno;De Venta;Cancha de la Pradera  - El valle  -  Cuenca, Ecuador
